Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,20-Jul-22,28-Dec-23,CE,18000,1115,1115,1110,1110,1110,1714.95,2,19.11,1.11,5775,-,16520.85
NIFTY,22-Jul-22,28-Dec-23,CE,18000,1140,1140,1140,1140,1140,1819.35,2,19.14,1.14,5875,100,16719.45
NIFTY,27-Jul-22,28-Dec-23,CE,18000,1150,1160.05,1150,1160.05,1160.05,1160.05,2,19.16,1.16,5775,-100,16641.8
NIFTY,28-Jul-22,28-Dec-23,CE,18000,1225,1260,1225,1225,1225,1225,24,230.96,14.96,6475,700,16929.6
NIFTY,29-Jul-22,28-Dec-23,CE,18000,1347.85,1461.4,1275,1424.25,1461.4,1424.25,13,125.79,8.79,6525,50,17158.25
NIFTY,01-Aug-22,28-Dec-23,CE,18000,1425,1460.9,1425,1460.9,1460.9,2149.45,9,87.48,6.48,6675,150,17340.05
NIFTY,02-Aug-22,28-Dec-23,CE,18000,1500,1500,1470,1500,1500,2145,7,68.18,5.18,6675,-,17345.45
NIFTY,03-Aug-22,28-Dec-23,CE,18000,1452,1500,1452,1500,1500,2170.05,3,29.21,2.21,6625,-50,17388.15
NIFTY,04-Aug-22,28-Dec-23,CE,18000,1500,1537,1400,1531.35,1520,1531.35,25,243.7,18.7,7225,600,17382
NIFTY,05-Aug-22,28-Dec-23,CE,18000,1560.1,1595,1560.1,1595,1595,2189.75,4,39.14,3.14,7325,100,17397.5
NIFTY,08-Aug-22,28-Dec-23,CE,18000,1600,1600.05,1550,1583.35,1550,1583.35,4,39.18,3.18,7275,-50,17525.1
NIFTY,10-Aug-22,28-Dec-23,CE,18000,1538,1570,1538,1570,1570,2256.95,6,58.69,4.69,7275,-,17534.75
NIFTY,11-Aug-22,28-Dec-23,CE,18000,1680,1680,1620,1640,1640,1640,7,68.75,5.75,7275,-,17659
NIFTY,12-Aug-22,28-Dec-23,CE,18000,1659.95,1660,1630,1630,1630,2352.05,4,39.29,3.29,7225,-50,17698.15
NIFTY,17-Aug-22,28-Dec-23,CE,18000,1803.35,1803.35,1740,1755.35,1758.7,1755.35,8,79.05,7.05,7225,-,17944.25
NIFTY,18-Aug-22,28-Dec-23,CE,18000,1812.4,1812.45,1812.4,1812.45,1812.45,2491.75,2,19.81,1.81,7225,-,17956.5
NIFTY,19-Aug-22,28-Dec-23,CE,18000,1755,1800,1699,1725,1725,1725,11,108.56,9.56,7425,200,17758.45
NIFTY,22-Aug-22,28-Dec-23,CE,18000,1710,1710,1610,1610,1610,2185.3,10,98.3,8.3,7725,300,17490.7
NIFTY,23-Aug-22,28-Dec-23,CE,18000,1600,1652.85,1550,1652.85,1652.85,1652.85,11,107.84,8.84,8025,300,17577.5
NIFTY,24-Aug-22,28-Dec-23,CE,18000,1710,1710,1610,1645,1645,1645,21,206.09,17.09,8775,750,17604.95
NIFTY,25-Aug-22,28-Dec-23,CE,18000,1710,1710,1610,1610,1610,1610,9,88.49,7.49,8975,200,17522.45
NIFTY,26-Aug-22,28-Dec-23,CE,18000,1675,1693.95,1660,1663.25,1660,1663.25,9,88.52,7.52,9025,50,17558.9
NIFTY,29-Aug-22,28-Dec-23,CE,18000,1519.95,1544,1482,1520.55,1500,1520.55,19,185.49,14.49,9125,100,17312.9
NIFTY,30-Aug-22,28-Dec-23,CE,18000,1566,1750,1537.4,1745.8,1750,1745.8,21,206.35,17.35,9125,-,17759.3
NIFTY,01-Sep-22,28-Dec-23,CE,18000,1620,1700,1610,1670.35,1700,1670.35,8,78.6,6.6,9275,150,17542.8
NIFTY,02-Sep-22,28-Dec-23,CE,18000,1651,1657.95,1615,1650.85,1655,1650.85,11,108.02,9.02,9525,250,17539.45
NIFTY,05-Sep-22,28-Dec-23,CE,18000,1660,1772.7,1660,1700,1700,1700,8,78.8,6.8,9575,50,17665.8
NIFTY,06-Sep-22,28-Dec-23,CE,18000,1705,1733.6,1684.15,1733.6,1733.6,2245.2,37,364.5,31.5,10625,1050,17655.6
NIFTY,07-Sep-22,28-Dec-23,CE,18000,1660.05,1680,1645,1680,1680,2218.5,8,78.63,6.63,10925,300,17624.4
NIFTY,08-Sep-22,28-Dec-23,CE,18000,1754.95,1756.6,1734.6,1756.6,1756.6,2325.45,7,69.1,6.1,10875,-50,17798.75
NIFTY,09-Sep-22,28-Dec-23,CE,18000,1800,1825,1760.35,1768.65,1767.25,1768.65,18,178.04,16.04,11075,200,17833.35
NIFTY,12-Sep-22,28-Dec-23,CE,18000,1834.8,1849.05,1826.4,1844.55,1844.55,1844.55,7,69.43,6.43,11275,200,17936.35
NIFTY,13-Sep-22,28-Dec-23,CE,18000,1846.25,1920,1830,1898.2,1886,1898.2,34,338.21,32.21,12075,800,18070.05
NIFTY,14-Sep-22,28-Dec-23,CE,18000,1819,1894.25,1790.75,1869.65,1866,1869.65,30,297.76,27.76,12275,200,18003.75
NIFTY,15-Sep-22,28-Dec-23,CE,18000,1830.05,1830.05,1786.05,1793.05,1786.05,1793.05,7,69.34,6.34,12525,250,17877.4
NIFTY,16-Sep-22,28-Dec-23,CE,18000,1738,1752.9,1655.1,1668.4,1673.9,1668.4,23,226.53,19.53,12625,100,17530.85
NIFTY,19-Sep-22,28-Dec-23,CE,18000,1620.05,1720,1612.95,1677.3,1677.3,1677.3,7,68.79,5.79,12425,-200,17622.25
NIFTY,20-Sep-22,28-Dec-23,CE,18000,1785,1810,1785,1810,1810,2309.55,9,89.09,8.09,12575,150,17816.25
NIFTY,21-Sep-22,28-Dec-23,CE,18000,1710.1,1745,1710.1,1739.55,1745,1739.55,13,128.28,11.28,12625,50,17718.35
NIFTY,22-Sep-22,28-Dec-23,CE,18000,1710,1766.4,1610.35,1766.4,1766.4,2180.6,30,295.38,25.38,12775,150,17629.8
NIFTY,23-Sep-22,28-Dec-23,CE,18000,1699.95,1699.95,1580,1580,1580,1995.6,18,176.69,14.69,13075,300,17327.35
NIFTY,26-Sep-22,28-Dec-23,CE,18000,1505,1552.5,1449.75,1455,1450,1455,26,253.26,19.26,13675,600,17016.3
NIFTY,27-Sep-22,28-Dec-23,CE,18000,1475.65,1490,1430,1430,1430,1799.35,27,262.69,19.69,14275,600,17007.4
NIFTY,28-Sep-22,28-Dec-23,CE,18000,1350,1460,1350,1400,1400,1713.65,39,378.79,27.79,15175,900,16858.6
NIFTY,29-Sep-22,28-Dec-23,CE,18000,1430,1430,1306.95,1366.5,1360.5,1366.5,67,648.97,45.97,15725,550,16818.1
NIFTY,30-Sep-22,28-Dec-23,CE,18000,1350,1440,1335,1406.7,1400,1406.7,33,319.76,22.76,16775,1050,17094.35
NIFTY,03-Oct-22,28-Dec-23,CE,18000,1366,1372.3,1345,1347.45,1345,1347.45,30,290.29,20.29,17775,1000,16887.35
NIFTY,04-Oct-22,28-Dec-23,CE,18000,1400,1480,1398.85,1477.15,1479,1477.15,24,233.17,17.17,18025,250,17274.3
